,,update_count,driving_time,routes,source_stop_id,destination_stop_id,avg_delay,delay_std
15334,15336,1,1.9166666666666667,"('12',)",15334,15336,3.641666666666667,3.015251635310464
15336,14445,1,1.8666666666666667,"('12',)",15336,14445,2.225,2.469863816635904
14445,16294,1,1.5166666666666666,"('12',)",14445,16294,1.518181818181818,1.6803679250796129
16294,16333,1,3.7,"('12',)",16294,16333,0.5,0.7211102550927979
16333,16337,1,1.7166666666666666,"('12',)",16333,16337,0.3909090909090909,0.7582275983562528
16337,15854,1,1.6166666666666667,"('12',)",16337,15854,0.33636363636363636,0.6265344799334308
15854,15849,1,0.8666666666666667,"('12',)",15854,15849,0.3,0.570964096944808
15849,15842,1,1.1666666666666667,"('12',)",15849,15842,0.2636363636363636,0.4455843966584272
15842,15837,1,1.0833333333333333,"('12',)",15842,15837,0.23636363636363636,0.38541595004028384
15837,17737,1,1.3166666666666667,"('12',)",15837,17737,0.22727272727272727,0.337908002541843
17737,15852,1,1.2333333333333334,"('12',)",17737,15852,0.23636363636363636,0.40809980953861585
15852,15847,1,0.6666666666666666,"('12',)",15852,15847,0.3090909090909091,0.4846742111038
15847,15856,1,0.6833333333333333,"('12',)",15847,15856,0.8363636363636364,1.574974747272303
15856,15840,1,0.6833333333333333,"('12',)",15856,15840,0.8818181818181817,1.6092347136562657
15840,15845,1,0.6666666666666666,"('12',)",15840,15845,0.890909090909091,1.6071431457431198
15845,15838,1,0.6833333333333333,"('12',)",15845,15838,1.0818181818181818,1.6910459377664357
15838,15843,1,0.6833333333333333,"('12',)",15838,15843,1.1454545454545455,1.7408984096515432
15843,15850,1,0.6833333333333333,"('12',)",15843,15850,1.2727272727272727,1.7844275883828458
15850,15165,1,1.25,"('12',)",15850,15165,5.3,4.711050838188864
16498,15623,1,0.95,"('14',)",16498,15623,2.5153846153846158,5.710109792828317
15623,15579,1,1.2166666666666666,"('14',)",15623,15579,1.7384615384615385,5.824917298851679
15579,15528,2,1.2166666666666666,"('14', '14R')",15579,15528,0.609375,0.8364129922163974
15528,15529,2,2.1166666666666667,"('14', '14R')",15528,15529,0.34375,0.7255420665423753
15529,15532,2,1.7333333333333334,"('14', '14R')",15529,15532,0.4181818181818182,0.8125786675203152
15532,15534,2,1.5666666666666667,"('14', '14R')",15532,15534,0.346875,0.712100199093068
15534,15536,2,1.6,"('14', '14R')",15534,15536,0.284375,0.5897563056042725
15536,15538,1,1.6666666666666667,"('14',)",15536,15538,1.7692307692307692,5.866431230707079
15538,15539,1,1.5166666666666666,"('14',)",15538,15539,1.830769230769231,5.859950117928939
15539,15540,1,1.4833333333333334,"('14',)",15539,15540,1.8807692307692307,5.870810453814311
15540,15543,1,1.1,"('14',)",15540,15543,1.8740740740740742,5.764052566927369
15543,15545,1,1.2333333333333334,"('14',)",15543,15545,2.0035714285714286,5.720883261438332
15545,15836,1,1.4833333333333334,"('14',)",15545,15836,2.388888888888889,5.810159095751916
15836,15835,1,1.0833333333333333,"('14',)",15836,15835,2.207692307692308,5.879994767135297
15835,15548,1,2.6333333333333333,"('14',)",15835,15548,1.9807692307692308,5.864061338749399
15548,15552,2,2.1333333333333333,"('14', '49')",15548,15552,1.1297297297297297,1.9811423282856093
15552,15554,2,1.8666666666666667,"('14', '49')",15552,15554,1.375,2.26304156896358
15554,15558,2,2.2,"('14', '49')",15554,15558,1.463888888888889,2.4645083865350483
15558,15562,2,1.85,"('14', '49')",15558,15562,1.5083333333333333,2.4499999999999997
15562,15566,2,2.0833333333333335,"('14', '49')",15562,15566,1.4555555555555555,2.4258659066043604
15566,15568,2,2.0166666666666666,"('14', '49')",15566,15568,1.462162162162162,2.4941432899396037
15568,15626,2,2.316666666666667,"('14', '49')",15568,15626,1.3416666666666666,2.2018660916854786
15626,15572,2,1.6666666666666667,"('14', '49')",15626,15572,1.3171428571428572,2.193504544074151
15572,15584,2,0.65,"('14', '49')",15572,15584,1.5285714285714285,2.342142235668201
15584,15578,2,1.0166666666666666,"('14', '49')",15584,15578,1.7166666666666668,2.468834311399382
15578,15597,2,0.85,"('14', '49')",15578,15597,1.7194444444444443,2.4987790669438597
15597,15614,2,0.65,"('14', '49')",15597,15614,1.8416666666666666,2.598392360122477
15614,15580,2,1.2666666666666666,"('14', '49')",15614,15580,1.9857142857142858,2.8034792309413183
15580,15573,2,0.65,"('14', '49')",15580,15573,1.8176470588235296,2.7469509916352046
15573,15625,2,0.9666666666666667,"('14', '49')",15573,15625,1.711764705882353,2.6590912899736154
15625,15621,2,0.95,"('14', '49')",15625,15621,1.66,2.637646009340191
15621,15590,2,2.05,"('14', '49')",15621,15590,1.6235294117647057,2.6659535588409287
15590,15616,1,1.7333333333333334,"('14',)",15590,15616,3.4,6.059359152033599
15616,15609,1,1.1166666666666667,"('14',)",15616,15609,3.968,6.00275769959108
15609,15598,1,1.2,"('14',)",15609,15598,4.096,6.027539575426554
15598,15592,1,1.5166666666666666,"('14',)",15598,15592,3.9269230769230767,5.972306602464926
15592,15604,1,0.8833333333333333,"('14',)",15592,15604,4.219230769230769,5.9909945238345355
15604,15589,1,1.0,"('14',)",15604,15589,5.092307692307693,6.548338603152595
15589,15602,1,1.1166666666666667,"('14',)",15589,15602,4.9423076923076925,6.585934896545703
15602,15627,1,0.7166666666666667,"('14',)",15602,15627,5.452000000000001,6.659587074286213
15627,15600,1,0.9166666666666666,"('14',)",15627,15600,6.0473684210526315,8.80974009082199
15600,15619,1,0.8833333333333333,"('14',)",15600,15619,6.1947368421052635,8.74474278156822
15619,15594,2,1.3166666666666667,"('14', '14R')",15619,15594,2.2294117647058824,2.2094191491944426
15594,15588,2,0.5666666666666667,"('14', '14R')",15594,15588,2.9588235294117644,2.377816371208502
15588,17099,1,1.4166666666666667,"('14',)",15588,17099,9.183333333333334,8.1489263096435
15603,15579,1,0.7666666666666667,"('14R',)",15603,15579,1.13125,1.220110386333429
15536,15540,2,2.2333333333333334,"('14R', '714')",15536,15540,,
